Date,Year,Month,Day,Weekday,High,Low,Average,Close
4/16/2019,2019,4,16,2,2916.060059,2900.709961,2908.38501,2907.060059
4/17/2019,2019,4,17,3,2918,2895.449951,2906.724976,2900.449951
4/18/2019,2019,4,18,4,2908.399902,2891.899902,2900.149902,2905.030029
4/22/2019,2019,4,22,1,2909.51001,2896.350098,2902.930054,2907.969971
4/23/2019,2019,4,23,2,2936.310059,2908.530029,2922.420044,2933.679932
4/24/2019,2019,4,24,3,2936.830078,2926.050049,2931.440064,2927.25
4/25/2019,2019,4,25,4,2933.100098,2912.840088,2922.970093,2926.169922
4/26/2019,2019,4,26,5,2939.879883,2917.560059,2928.719971,2939.879883
4/29/2019,2019,4,29,1,2949.52002,2939.350098,2944.435059,2943.030029
4/30/2019,2019,4,30,2,2948.219971,2924.110107,2936.165039,2945.830078
5/1/2019,2019,5,1,3,2954.129883,2923.360107,2938.744995,2923.72998
5/2/2019,2019,5,2,4,2931.679932,2900.5,2916.089966,2917.52002
5/3/2019,2019,5,3,5,2947.850098,2929.209961,2938.53003,2945.639893
5/6/2019,2019,5,6,1,2937.320068,2898.209961,2917.765015,2932.469971
5/7/2019,2019,5,7,2,2913.030029,2862.600098,2887.815064,2884.050049
5/8/2019,2019,5,8,3,2897.959961,2873.280029,2885.619995,2879.419922
5/9/2019,2019,5,9,4,2875.969971,2836.399902,2856.184937,2870.719971
5/10/2019,2019,5,10,5,2891.310059,2825.389893,2858.349976,2881.399902
5/13/2019,2019,5,13,1,2840.189941,2801.429932,2820.809937,2811.870117
5/14/2019,2019,5,14,2,2852.540039,2820.120117,2836.330078,2834.409912
5/15/2019,2019,5,15,3,2858.679932,2815.080078,2836.880005,2850.959961
5/16/2019,2019,5,16,4,2892.149902,2855.800049,2873.974976,2876.320068
5/17/2019,2019,5,17,5,2885.47998,2854.22998,2869.85498,2859.530029
5/20/2019,2019,5,20,1,2853.860107,2831.290039,2842.575073,2840.22998
5/21/2019,2019,5,21,2,2868.879883,2854.02002,2861.449952,2864.360107
5/22/2019,2019,5,22,3,2865.469971,2851.110107,2858.290039,2856.27002
5/23/2019,2019,5,23,4,2836.699951,2805.48999,2821.094971,2822.23999
5/24/2019,2019,5,24,5,2841.360107,2820.189941,2830.775024,2826.060059
5/28/2019,2019,5,28,2,2840.51001,2801.580078,2821.045044,2802.389893
5/29/2019,2019,5,29,3,2792.030029,2766.060059,2779.045044,2783.02002
5/30/2019,2019,5,30,4,2799,2776.73999,2787.869995,2788.860107
5/31/2019,2019,5,31,5,2768.97998,2750.52002,2759.75,2752.060059
6/3/2019,2019,6,3,1,2763.070068,2728.810059,2745.940064,2744.449951
6/4/2019,2019,6,4,2,2804.48999,2762.639893,2783.564942,2803.27002
6/5/2019,2019,6,5,3,2827.280029,2800.919922,2814.099976,2826.149902
6/6/2019,2019,6,6,4,2852.100098,2822.449951,2837.275025,2843.48999
6/7/2019,2019,6,7,5,2884.969971,2852.870117,2868.920044,2873.340088
6/10/2019,2019,6,10,1,2904.77002,2885.51001,2895.140015,2886.72998
6/11/2019,2019,6,11,2,2910.610107,2878.530029,2894.570068,2885.719971
6/12/2019,2019,6,12,3,2888.570068,2874.679932,2881.625,2879.840088
6/13/2019,2019,6,13,4,2895.23999,2881.98999,2888.61499,2891.639893
6/14/2019,2019,6,14,5,2894.449951,2879.620117,2887.035034,2886.97998
6/17/2019,2019,6,17,1,2897.27002,2887.300049,2892.285035,2889.669922
6/18/2019,2019,6,18,2,2930.790039,2905.439941,2918.11499,2917.75
6/19/2019,2019,6,19,3,2931.73999,2911.429932,2921.584961,2926.459961
6/20/2019,2019,6,20,4,2958.060059,2931.5,2944.78003,2954.179932
6/21/2019,2019,6,21,5,2964.149902,2946.870117,2955.51001,2950.459961
6/24/2019,2019,6,24,1,2954.919922,2944.050049,2949.484986,2945.350098
6/25/2019,2019,6,25,2,2946.52002,2916.01001,2931.265015,2917.379883
6/26/2019,2019,6,26,3,2932.590088,2912.98999,2922.790039,2913.780029
6/27/2019,2019,6,27,4,2929.300049,2918.570068,2923.935059,2924.919922
6/28/2019,2019,6,28,5,2943.97998,2929.050049,2936.515015,2941.76001
7/1/2019,2019,7,1,1,2977.929932,2952.219971,2965.074952,2964.330078
7/2/2019,2019,7,2,2,2973.209961,2955.919922,2964.564942,2973.01001
7/3/2019,2019,7,3,3,2995.840088,2977.959961,2986.900025,2995.820068
7/5/2019,2019,7,5,5,2994.030029,2967.969971,2981,2990.409912
7/8/2019,2019,7,8,1,2980.76001,2970.090088,2975.425049,2975.949951
7/9/2019,2019,7,9,2,2981.899902,2963.439941,2972.669922,2979.629883
7/10/2019,2019,7,10,3,3002.97998,2984.620117,2993.800049,2993.070068
7/11/2019,2019,7,11,4,3002.330078,2988.800049,2995.565064,2999.909912
7/12/2019,2019,7,12,5,3013.919922,3001.870117,3007.89502,3013.77002
7/15/2019,2019,7,15,1,3017.800049,3008.77002,3013.285035,3014.300049
7/16/2019,2019,7,16,2,3015.02002,3001.149902,3008.084961,3004.040039
7/17/2019,2019,7,17,3,3005.26001,2984.25,2994.755005,2984.419922
7/18/2019,2019,7,18,4,2998.280029,2973.090088,2985.685059,2995.110107
7/19/2019,2019,7,19,5,3006.02002,2975.860107,2990.940064,2976.610107
7/22/2019,2019,7,22,1,2990.709961,2976.649902,2983.679932,2985.030029
7/23/2019,2019,7,23,2,3005.899902,2988.560059,2997.229981,3005.469971
7/24/2019,2019,7,24,3,3019.590088,2996.820068,3008.205078,3019.560059
7/25/2019,2019,7,25,4,3016.310059,2997.23999,3006.775025,3003.669922
7/26/2019,2019,7,26,5,3027.97998,3012.590088,3020.285034,3025.860107
7/29/2019,2019,7,29,1,3025.610107,3014.300049,3019.955078,3020.969971
7/30/2019,2019,7,30,2,3017.189941,3000.939941,3009.064941,3013.179932
7/31/2019,2019,7,31,3,3017.399902,2958.080078,2987.73999,2980.379883
8/1/2019,2019,8,1,4,3013.590088,2945.22998,2979.410034,2953.560059
8/2/2019,2019,8,2,5,2945.5,2914.110107,2929.805054,2932.050049
8/5/2019,2019,8,5,1,2898.070068,2822.120117,2860.095093,2844.73999
8/6/2019,2019,8,6,2,2884.399902,2847.419922,2865.909912,2881.77002
8/7/2019,2019,8,7,3,2892.169922,2825.709961,2858.939942,2883.97998
8/8/2019,2019,8,8,4,2938.719971,2894.469971,2916.594971,2938.090088
8/9/2019,2019,8,9,5,2935.75,2900.149902,2917.949951,2918.649902
8/12/2019,2019,8,12,1,2907.580078,2873.139893,2890.359986,2882.699951
8/13/2019,2019,8,13,2,2943.310059,2877.050049,2910.180054,2926.320068
8/14/2019,2019,8,14,3,2894.149902,2839.639893,2866.894898,2840.600098
8/15/2019,2019,8,15,4,2856.669922,2825.51001,2841.089966,2847.600098
8/16/2019,2019,8,16,5,2893.629883,2864.73999,2879.184937,2888.679932
8/19/2019,2019,8,19,1,2931,2913.47998,2922.23999,2923.649902
8/20/2019,2019,8,20,2,2923.629883,2899.600098,2911.614991,2900.51001
8/21/2019,2019,8,21,3,2928.72998,2917.909912,2923.319946,2924.429932
8/22/2019,2019,8,22,4,2939.080078,2904.51001,2921.795044,2922.949951
8/23/2019,2019,8,23,5,2927.01001,2834.969971,2880.989991,2847.110107
8/26/2019,2019,8,26,1,2879.27002,2856,2867.63501,2878.379883
8/27/2019,2019,8,27,2,2898.790039,2860.590088,2879.690064,2869.159912
8/28/2019,2019,8,28,3,2890.030029,2853.050049,2871.540039,2887.939941
8/29/2019,2019,8,29,4,2930.5,2905.669922,2918.084961,2924.580078
8/30/2019,2019,8,30,5,2940.429932,2913.320068,2926.875,2926.459961
9/3/2019,2019,9,3,2,2914.389893,2891.850098,2903.119996,2906.27002
9/4/2019,2019,9,4,3,2938.840088,2921.860107,2930.350098,2937.780029
9/5/2019,2019,9,5,4,2985.860107,2960.600098,2973.230103,2976
9/6/2019,2019,9,6,5,2985.030029,2972.51001,2978.77002,2978.709961
9/9/2019,2019,9,9,1,2989.429932,2969.389893,2979.409913,2978.429932
9/10/2019,2019,9,10,2,2979.389893,2957.01001,2968.199952,2979.389893
9/11/2019,2019,9,11,3,3000.929932,2975.310059,2988.119996,3000.929932
9/12/2019,2019,9,12,4,3020.73999,3000.919922,3010.829956,3009.570068
9/13/2019,2019,9,13,5,3017.330078,3002.899902,3010.11499,3007.389893
9/16/2019,2019,9,16,1,3002.189941,2990.669922,2996.429932,2997.959961
9/17/2019,2019,9,17,2,3006.209961,2993.72998,2999.969971,3005.699951
9/18/2019,2019,9,18,3,3007.830078,2978.570068,2993.200073,3006.72998
9/19/2019,2019,9,19,4,3021.98999,3003.159912,3012.574951,3006.790039
9/20/2019,2019,9,20,5,3016.370117,2984.679932,3000.525025,2992.070068
9/23/2019,2019,9,23,1,2999.149902,2982.22998,2990.689941,2991.780029
9/24/2019,2019,9,24,2,3007.97998,2957.72998,2982.85498,2966.600098
